diagnosis_id,diagnosis_name,n_meds,meds_list,n_tests,tests_list,n_specialties,specialties_list,n_procedures,procedures_list
1,Abdominal aortic aneurysm (enlarged major blood vessel),,,6.0,"Complete blood count (CBC),Comprehensive metabolic panel (CMP),CT Scan,Electrocardiogram (EKG),Troponin,Ultrasound",3.0,"General Surgery,Vascular Surgery,Cardiovascular Surgery",58.0,"Fulguration (remove tissue with electric current),Gastrectomy (surgical removal of stomach),Appendectomy (remove appendix),Hemorrhoidectomy (remove hemorrhoid),Herniorrhaphy (hernia repair),Ileostomy (external opening to the small intestine),Implant radiation (implant radioactive material),Incisional biopsy (remove cells or tissue),Laparoscopic cholecystectomy (minimally invasive gallbladder removal),Laparoscopy (camera examination inside abdomen),Laparotomy  (surgically open the abdomen),Lobectomy (removal of part of an organ),Lumpectomy (surgery to remove tumor from breast),Lymphadenectomy (remove lymph node),Mastectomy (remove breast),Mediastinoscopy (view space between lungs and heart),Ostomy (opening in body),Pancreaticoduodenectomy (remove pancreas and duodenum),Patient controlled anesthesia (PCA pump, self-administered pain pump),Port (medical appliance installed beneath skin),Radical lymph node dissection (surgical removal of lymph nodes and surrounding tissue),Biopsy (remove cells or tissue),Radical mastectomy (remove breast, chest muscles and lymph nodes),Resection (remove tissue),Robotic surgery (robot assisted surgery),Splenectomy (remove spleen),Surgery (invasive treatment or diagnostic procedure),Tracheostomy (tracheotomy, opening in windpipe),Transplantation (replace organ),Lymph node biopsy (remove sample of lymph node),Breast conserving surgery (removal of part of the breast),Video fluoroscopy (x-rays that capture motion of a body part),Cauterization (stops bleeding),Celioscopy (camera exam of abdominal cavity),Central line placement (place large IV into a vein),Skin biopsy (skin sample),Dialysis catheter insertion,Abdominal pelvic CT (CAT) scan without intravenous dye,Abdominal pelvic CT (CAT) scan with dye,Breast ultrasound,Cholecystectomy (remove gallbladder),Breast biopsy (breast tissue removal),Inguinal hernia repair (groin hernia surgery),Colectomy (remove large intestine),Colostomy (colon attached to abdominal wall),Blood type, screen, and crossmatch,Core biopsy,Anastomosis (connect two structures),Cryosurgery (freeze tissue),Curettage (remove tissue),Da Vinci Robotic Surgery (minimally invasive robotic surgery),Diathermy (cauterization),Angioplasty (open blocked artery),Aortography (x-ray of aorta),Angiogram, arm (x-ray of upper extremity blood vessels),Carotid endarterectomy (unclog carotid artery),Angiogram, leg (x-ray of lower extremity blood vessels),Angiography (x-ray blood vessels)"
10,Acid (LSD) abuse,4.0,"Chlordiazepoxide,Alprazolam,Diazepam,Lorazepam",3.0,"Complete blood count (CBC),Comprehensive metabolic panel (CMP),Electrocardiogram (EKG)",4.0,"Pediatric and Adolescent Psychiatry,Addiction Psychiatry,Medical Toxicology,Addiction Medicine",6.0,"Toxicology screen (drug test),Aspirin (salicylate) level,Blood alcohol level (ethanol level),Botulism toxin assay (blood test to diagnose botulism),Carboxyhemoglobin level (carbon monoxide blood test),Drug screen"
1000,Boil (pus-filled lump),4.0,"Cephalexin,Erythromycin,Co-trimoxazole Oral,Linezolid",1.0,Wound culture,6.0,"Internal Medicine,Dermatology,Pediatrics,Family Practice,Pediatric Dermatology,Telemedicine Dermatology",147.0,"Fecal occult blood test (blood in stool),Gene therapy (use of DNA to treat disease),Genetic testing (analyze DNA),Hormone replacement therapy (post-menopausal hormone therapy or HRT),Immunization (shots),Immunosuppressant (reduce immune system response),Immunotherapy (modify immune system),Infusion (into the bloodstream),Intramuscular injection (into a muscle),Intravenous (IV, through the vein),Laboratory test (lab work),Aspiration (remove fluid with a needle),Palliative therapy (care given to improve quality of life),Patient controlled anesthesia (PCA pump, self-administered pain pump),Plasmapheresis (replacement of the liquid in blood),Blood transfusion (replace blood),Swan Ganz catheter placement (tube in jugular vein to measure heart pressures),Tilt table test (evaluates fainting spells),Transfusion (blood replacement through a vein),Urine Cortisol 24 hour collection (urine test to measure hormone from adrenal gland),Acetaminophen (Tylenol) level,Androgen (male sex hormone),B12 test (blood test for vitamin),Chem-12 (comprehensive metabolic panel, blood test),D-Dimer (blood test for blood clots ),Dexamethasone suppression test (blood test for hormonal abnormality),Dix Hallpike maneuver (test for vertigo),Drug screen,Erythrocyte sedimentation rate (ESR, blood test for inflammation ),Fibrin degradation products (blood test for clotting disorder),Glucose tolerance test (diabetes screening test),Haptoglobin (measure of red blood cell destruction),Hemoglobin A1C (Hb A1C, measures blood glucose over time),Hepatitis profile (viral hepatitis blood test),Ketones (fat breakdown measurement),Lactate (blood test for lactic acid),Lipase (pancreatic blood test),Cholesterol (HDL, LDL, blood fat tests),Urinalysis (UA, microscopic examination of urine),Blood test for heart damage (troponin test),Comprehensive metabolic panel (CMP, blood test),HDL cholesterol (high-density lipoprotein, good cholesterol),LDL cholesterol (low-density lipoprotein, bad cholesterol),Complete blood count (CBC),Rapid flu test,Rapid strep test,Prothrombin time (PT, blood clotting test),Rheumatoid factor (blood test for autoimmune disease),Thyroid scan (image of thyroid using radioactive material),Thyroid blood tests,Spinal fluid analysis,Sputum culture (test for infection in lung mucous),Stool culture (test of stool for infection),Stool for clostridium difficile (test of stool for bacteria),Stool ova and parasite exam (test of stool for parasites),Stool WBCs (white blood cells, test of stool for infection),Tuberculosis skin test (PPD skin test),Thyroid stimulating hormone (TSH, blood test to detect thyroid problems),Toxicology screen (drug test),Chest CT (CAT) scan with dye,Abdominal pelvic CT (CAT) scan without intravenous dye,Abdominal pelvic CT (CAT) scan with dye,Brain MRI (magnetic resonance imaging) with and without dye,Breast ultrasound,Rubella titer (German measles blood test),Measles, mumps, rubella vaccine (MMR),Hep lock (saline lock, IV catheter),Brain MRI with dye,Brain MRI without dye,Chest MRI without dye,Chest MRI with dye,Flu (influenza) vaccine,HPV (human papiloma virus) vaccine,Hepatitis A vaccine,Hepatitis B vaccine,Meningitis (meningococcal) vaccine,Pneumococcal (pneumonia) vaccine,Chicken pox (varicella) vaccine,Tetanus vaccine (Td vaccine),Shingles vaccine,Camp physical,School physical,Sports physical,Blood pressure screening,Health screening,Employment physical,Breathing treatment with nebulizer,Ear wax removal,Splinter removal,Staple or suture removal,Diabetes screening,Medication renewal,Rotavirus vaccine,Polio vaccine,Haemophilus influenza type B (Hib) vaccine,Gram Stain,Iron level,Fungal test (KOH Prep),Throat culture,Thyroid ultrasound,Uric acid level,Urine culture,Vaginal wet prep/culture,Wood's light analysis,Chest x-ray,Fasting blood sugar (glucose),Cold agglutinins,Basic metabolic panel (BMP, Chem-7),H. pylori blood antibody test,Urea breath test (H. pylori),Valsalva's maneuver,Diathermy (cauterization),Digital rectal examination (finger examination of rectum),Electrocardiogram (EKG or ECG, recording of heart electricity),Excisional biopsy (removal of tissue for evaluation),Incisional biopsy (remove cells or tissue),Laser (concentrated light therapy),Laser skin resurfacing (cosmetic procedure),Biopsy (remove cells or tissue),Sclerotherapy (collapse varicose veins),Botox injections (skin injection of small amount of toxin),Ultraviolet light B (UVB, skin disease light treatment),PUVA treatment (UVA and psoralen, light therapy),Blue light acne treatment (light therapy),Microcurrent facial (non-invasive electrical face lift),Thermage (noninvasive cosmetic skin procedure),Skin biopsy (skin sample),Chemical peel (improve texture of facial skin),Cryosurgery (freeze tissue),Dermabrasion (refinish skin),Laceration repair (stitches),Follicle stimulating hormone (FSH, female hormone blood test),Mono spot (blood test for mononucleosis),Lactose tolerance test (test for lactose intolerance),Sweat test (chloride sweat test, screening test for cystic fibrosis),Facial CT (CAT) scan without dye,Lower extremity joint MRI without dye (leg MRI),Diphtheria, tetanus and pertussis vaccine (DTaP, Tdap and Td),Brain CT (CAT) scan without dye,Thermal ablation (heat to remove tissue),Anoscopy (tube to view the anus, rectum),Cervical culture (test for infection in female organ),Catheterization (insertion of hollow tube),Trigger point injections (pain management treatment using muscle injections),Pelvic ultrasound,Cryotherapy (cold treatment),Enema (insertion of liquid into rectum)"
1001,"Angioedema (swelling of skin, lips, eyes)",5.0,"Diphenhydramine,Loratadine,Cetirizine,Epinephrine Injection,Prednisone",,,2.0,"Allergy and Immunology,Pediatric Allergy and Immunology",3.0,"Biological therapy (immune system modification to treat disease),Allergy testing,Antibody (immune system blood test)"
1002,Hot tub follicullitis (hair follicle infection),2.0,"Ciprofloxacin,Levofloxacin",,,6.0,"Internal Medicine,Dermatology,Pediatrics,Family Practice,Pediatric Dermatology,Telemedicine Dermatology",147.0,"Fecal occult blood test (blood in stool),Gene therapy (use of DNA to treat disease),Genetic testing (analyze DNA),Hormone replacement therapy (post-menopausal hormone therapy or HRT),Immunization (shots),Immunosuppressant (reduce immune system response),Immunotherapy (modify immune system),Infusion (into the bloodstream),Intramuscular injection (into a muscle),Intravenous (IV, through the vein),Laboratory test (lab work),Aspiration (remove fluid with a needle),Palliative therapy (care given to improve quality of life),Patient controlled anesthesia (PCA pump, self-administered pain pump),Plasmapheresis (replacement of the liquid in blood),Blood transfusion (replace blood),Swan Ganz catheter placement (tube in jugular vein to measure heart pressures),Tilt table test (evaluates fainting spells),Transfusion (blood replacement through a vein),Urine Cortisol 24 hour collection (urine test to measure hormone from adrenal gland),Acetaminophen (Tylenol) level,Androgen (male sex hormone),B12 test (blood test for vitamin),Chem-12 (comprehensive metabolic panel, blood test),D-Dimer (blood test for blood clots ),Dexamethasone suppression test (blood test for hormonal abnormality),Dix Hallpike maneuver (test for vertigo),Drug screen,Erythrocyte sedimentation rate (ESR, blood test for inflammation ),Fibrin degradation products (blood test for clotting disorder),Glucose tolerance test (diabetes screening test),Haptoglobin (measure of red blood cell destruction),Hemoglobin A1C (Hb A1C, measures blood glucose over time),Hepatitis profile (viral hepatitis blood test),Ketones (fat breakdown measurement),Lactate (blood test for lactic acid),Lipase (pancreatic blood test),Cholesterol (HDL, LDL, blood fat tests),Urinalysis (UA, microscopic examination of urine),Blood test for heart damage (troponin test),Comprehensive metabolic panel (CMP, blood test),HDL cholesterol (high-density lipoprotein, good cholesterol),LDL cholesterol (low-density lipoprotein, bad cholesterol),Complete blood count (CBC),Rapid flu test,Rapid strep test,Prothrombin time (PT, blood clotting test),Rheumatoid factor (blood test for autoimmune disease),Thyroid scan (image of thyroid using radioactive material),Thyroid blood tests,Spinal fluid analysis,Sputum culture (test for infection in lung mucous),Stool culture (test of stool for infection),Stool for clostridium difficile (test of stool for bacteria),Stool ova and parasite exam (test of stool for parasites),Stool WBCs (white blood cells, test of stool for infection),Tuberculosis skin test (PPD skin test),Thyroid stimulating hormone (TSH, blood test to detect thyroid problems),Toxicology screen (drug test),Chest CT (CAT) scan with dye,Abdominal pelvic CT (CAT) scan without intravenous dye,Abdominal pelvic CT (CAT) scan with dye,Brain MRI (magnetic resonance imaging) with and without dye,Breast ultrasound,Rubella titer (German measles blood test),Measles, mumps, rubella vaccine (MMR),Hep lock (saline lock, IV catheter),Brain MRI with dye,Brain MRI without dye,Chest MRI without dye,Chest MRI with dye,Flu (influenza) vaccine,HPV (human papiloma virus) vaccine,Hepatitis A vaccine,Hepatitis B vaccine,Meningitis (meningococcal) vaccine,Pneumococcal (pneumonia) vaccine,Chicken pox (varicella) vaccine,Tetanus vaccine (Td vaccine),Shingles vaccine,Camp physical,School physical,Sports physical,Blood pressure screening,Health screening,Employment physical,Breathing treatment with nebulizer,Ear wax removal,Splinter removal,Staple or suture removal,Diabetes screening,Medication renewal,Rotavirus vaccine,Polio vaccine,Haemophilus influenza type B (Hib) vaccine,Gram Stain,Iron level,Fungal test (KOH Prep),Throat culture,Thyroid ultrasound,Uric acid level,Urine culture,Vaginal wet prep/culture,Wood's light analysis,Chest x-ray,Fasting blood sugar (glucose),Cold agglutinins,Basic metabolic panel (BMP, Chem-7),H. pylori blood antibody test,Urea breath test (H. pylori),Valsalva's maneuver,Diathermy (cauterization),Digital rectal examination (finger examination of rectum),Electrocardiogram (EKG or ECG, recording of heart electricity),Excisional biopsy (removal of tissue for evaluation),Incisional biopsy (remove cells or tissue),Laser (concentrated light therapy),Laser skin resurfacing (cosmetic procedure),Biopsy (remove cells or tissue),Sclerotherapy (collapse varicose veins),Botox injections (skin injection of small amount of toxin),Ultraviolet light B (UVB, skin disease light treatment),PUVA treatment (UVA and psoralen, light therapy),Blue light acne treatment (light therapy),Microcurrent facial (non-invasive electrical face lift),Thermage (noninvasive cosmetic skin procedure),Skin biopsy (skin sample),Chemical peel (improve texture of facial skin),Cryosurgery (freeze tissue),Dermabrasion (refinish skin),Laceration repair (stitches),Follicle stimulating hormone (FSH, female hormone blood test),Mono spot (blood test for mononucleosis),Lactose tolerance test (test for lactose intolerance),Sweat test (chloride sweat test, screening test for cystic fibrosis),Facial CT (CAT) scan without dye,Lower extremity joint MRI without dye (leg MRI),Diphtheria, tetanus and pertussis vaccine (DTaP, Tdap and Td),Brain CT (CAT) scan without dye,Thermal ablation (heat to remove tissue),Anoscopy (tube to view the anus, rectum),Cervical culture (test for infection in female organ),Catheterization (insertion of hollow tube),Trigger point injections (pain management treatment using muscle injections),Pelvic ultrasound,Cryotherapy (cold treatment),Enema (insertion of liquid into rectum)"
1003,Detached retina (retinal detachment),,,,,2.0,"Ophthalmology,Pediatric Ophthalmology",13.0,"Keratectomy (remove tissue from eye),Keratotomy (incision on the cornea),LASIK (reshape cornea),Photodynamic therapy (PDT, cancer therapy using light),Photorefractive keratectomy (remove surface layer of cornea),Radial keratotomy (RK, correct nearsightedness),Refractive surgery (vision correction surgery),Myectomy surgery (removal of muscle),Fluorescein staining of cornea (eye),Cataract surgery (remove cataract from eye),Tonometry (test to measure pressure inside eye),Slit lamp exam (specialized eye exam),Electronystagmogram (electronystagmography, ENG, inner ear test)"
1004,Posterior vitreous detachment (common eye abnormality),,,,,2.0,"Ophthalmology,Pediatric Ophthalmology",13.0,"Keratectomy (remove tissue from eye),Keratotomy (incision on the cornea),LASIK (reshape cornea),Photodynamic therapy (PDT, cancer therapy using light),Photorefractive keratectomy (remove surface layer of cornea),Radial keratotomy (RK, correct nearsightedness),Refractive surgery (vision correction surgery),Myectomy surgery (removal of muscle),Fluorescein staining of cornea (eye),Cataract surgery (remove cataract from eye),Tonometry (test to measure pressure inside eye),Slit lamp exam (specialized eye exam),Electronystagmogram (electronystagmography, ENG, inner ear test)"
1006,Flu (influenza),6.0,"Aspirin,Acetaminophen,Ibuprofen,Naproxen,Oseltamivir,Zanamivir Inhalation",2.0,"Complete blood count (CBC),X-ray",3.0,"Internal Medicine,Pediatrics,Family Practice",131.0,"Fecal occult blood test (blood in stool),Gene therapy (use of DNA to treat disease),Genetic testing (analyze DNA),Hormone replacement therapy (post-menopausal hormone therapy or HRT),Immunization (shots),Immunosuppressant (reduce immune system response),Immunotherapy (modify immune system),Infusion (into the bloodstream),Intramuscular injection (into a muscle),Intravenous (IV, through the vein),Laboratory test (lab work),Aspiration (remove fluid with a needle),Palliative therapy (care given to improve quality of life),Patient controlled anesthesia (PCA pump, self-administered pain pump),Plasmapheresis (replacement of the liquid in blood),Blood transfusion (replace blood),Swan Ganz catheter placement (tube in jugular vein to measure heart pressures),Tilt table test (evaluates fainting spells),Transfusion (blood replacement through a vein),Urine Cortisol 24 hour collection (urine test to measure hormone from adrenal gland),Acetaminophen (Tylenol) level,Androgen (male sex hormone),B12 test (blood test for vitamin),Chem-12 (comprehensive metabolic panel, blood test),D-Dimer (blood test for blood clots ),Dexamethasone suppression test (blood test for hormonal abnormality),Dix Hallpike maneuver (test for vertigo),Drug screen,Erythrocyte sedimentation rate (ESR, blood test for inflammation ),Fibrin degradation products (blood test for clotting disorder),Glucose tolerance test (diabetes screening test),Haptoglobin (measure of red blood cell destruction),Hemoglobin A1C (Hb A1C, measures blood glucose over time),Hepatitis profile (viral hepatitis blood test),Ketones (fat breakdown measurement),Lactate (blood test for lactic acid),Lipase (pancreatic blood test),Cholesterol (HDL, LDL, blood fat tests),Urinalysis (UA, microscopic examination of urine),Blood test for heart damage (troponin test),Comprehensive metabolic panel (CMP, blood test),HDL cholesterol (high-density lipoprotein, good cholesterol),LDL cholesterol (low-density lipoprotein, bad cholesterol),Complete blood count (CBC),Rapid flu test,Rapid strep test,Prothrombin time (PT, blood clotting test),Rheumatoid factor (blood test for autoimmune disease),Thyroid scan (image of thyroid using radioactive material),Thyroid blood tests,Spinal fluid analysis,Sputum culture (test for infection in lung mucous),Stool culture (test of stool for infection),Stool for clostridium difficile (test of stool for bacteria),Stool ova and parasite exam (test of stool for parasites),Stool WBCs (white blood cells, test of stool for infection),Tuberculosis skin test (PPD skin test),Thyroid stimulating hormone (TSH, blood test to detect thyroid problems),Toxicology screen (drug test),Chest CT (CAT) scan with dye,Abdominal pelvic CT (CAT) scan without intravenous dye,Abdominal pelvic CT (CAT) scan with dye,Brain MRI (magnetic resonance imaging) with and without dye,Breast ultrasound,Rubella titer (German measles blood test),Measles, mumps, rubella vaccine (MMR),Hep lock (saline lock, IV catheter),Brain MRI with dye,Brain MRI without dye,Chest MRI without dye,Chest MRI with dye,Flu (influenza) vaccine,HPV (human papiloma virus) vaccine,Hepatitis A vaccine,Hepatitis B vaccine,Meningitis (meningococcal) vaccine,Pneumococcal (pneumonia) vaccine,Chicken pox (varicella) vaccine,Tetanus vaccine (Td vaccine),Shingles vaccine,Camp physical,School physical,Sports physical,Blood pressure screening,Health screening,Employment physical,Breathing treatment with nebulizer,Ear wax removal,Splinter removal,Staple or suture removal,Diabetes screening,Medication renewal,Rotavirus vaccine,Polio vaccine,Haemophilus influenza type B (Hib) vaccine,Gram Stain,Iron level,Fungal test (KOH Prep),Throat culture,Thyroid ultrasound,Uric acid level,Urine culture,Vaginal wet prep/culture,Wood's light analysis,Chest x-ray,Fasting blood sugar (glucose),Cold agglutinins,Basic metabolic panel (BMP, Chem-7),H. pylori blood antibody test,Urea breath test (H. pylori),Valsalva's maneuver,Diathermy (cauterization),Digital rectal examination (finger examination of rectum),Electrocardiogram (EKG or ECG, recording of heart electricity),Laceration repair (stitches),Follicle stimulating hormone (FSH, female hormone blood test),Mono spot (blood test for mononucleosis),Lactose tolerance test (test for lactose intolerance),Sweat test (chloride sweat test, screening test for cystic fibrosis),Facial CT (CAT) scan without dye,Lower extremity joint MRI without dye (leg MRI),Diphtheria, tetanus and pertussis vaccine (DTaP, Tdap and Td),Brain CT (CAT) scan without dye,Thermal ablation (heat to remove tissue),Anoscopy (tube to view the anus, rectum),Cervical culture (test for infection in female organ),Catheterization (insertion of hollow tube),Trigger point injections (pain management treatment using muscle injections),Pelvic ultrasound,Cryotherapy (cold treatment),Enema (insertion of liquid into rectum)"
1007,Thyroid cancer (neck gland cancer),1.0,Levothyroxine,2.0,"Thyroid function tests,Ultrasound",5.0,"General Surgery,Endocrinology,Blood and Cancer Care (hematology and oncology),Ear, Nose, and Throat (ENT),Surgical Oncology",120.0,"Fulguration (remove tissue with electric current),Gastrectomy (surgical removal of stomach),Appendectomy (remove appendix),Hemorrhoidectomy (remove hemorrhoid),Herniorrhaphy (hernia repair),Ileostomy (external opening to the small intestine),Implant radiation (implant radioactive material),Incisional biopsy (remove cells or tissue),Laparoscopic cholecystectomy (minimally invasive gallbladder removal),Laparoscopy (camera examination inside abdomen),Laparotomy  (surgically open the abdomen),Lobectomy (removal of part of an organ),Lumpectomy (surgery to remove tumor from breast),Lymphadenectomy (remove lymph node),Mastectomy (remove breast),Mediastinoscopy (view space between lungs and heart),Ostomy (opening in body),Pancreaticoduodenectomy (remove pancreas and duodenum),Patient controlled anesthesia (PCA pump, self-administered pain pump),Port (medical appliance installed beneath skin),Radical lymph node dissection (surgical removal of lymph nodes and surrounding tissue),Biopsy (remove cells or tissue),Radical mastectomy (remove breast, chest muscles and lymph nodes),Resection (remove tissue),Robotic surgery (robot assisted surgery),Splenectomy (remove spleen),Surgery (invasive treatment or diagnostic procedure),Tracheostomy (tracheotomy, opening in windpipe),Transplantation (replace organ),Lymph node biopsy (remove sample of lymph node),Breast conserving surgery (removal of part of the breast),Video fluoroscopy (x-rays that capture motion of a body part),Cauterization (stops bleeding),Celioscopy (camera exam of abdominal cavity),Central line placement (place large IV into a vein),Skin biopsy (skin sample),Dialysis catheter insertion,Abdominal pelvic CT (CAT) scan without intravenous dye,Abdominal pelvic CT (CAT) scan with dye,Breast ultrasound,Cholecystectomy (remove gallbladder),Breast biopsy (breast tissue removal),Inguinal hernia repair (groin hernia surgery),Colectomy (remove large intestine),Colostomy (colon attached to abdominal wall),Blood type, screen, and crossmatch,Core biopsy,Anastomosis (connect two structures),Cryosurgery (freeze tissue),Curettage (remove tissue),Da Vinci Robotic Surgery (minimally invasive robotic surgery),Diathermy (cauterization),Dexamethasone suppression test (blood test for hormonal abnormality),Thyroid scan (image of thyroid using radioactive material),Thyroid blood tests,Thyroid stimulating hormone (TSH, blood test to detect thyroid problems),Thyroid ultrasound,Fasting blood sugar (glucose),Antibody therapy for cancer (kill tumor cells),Grading (cancer classification system),Hyperthermic perfusion (late stage cancer treatment),Immunosuppressant (reduce immune system response),Immunotherapy (modify immune system),Irradiation (radiation treatment),Autologous bone marrow transplantation (use patient's own bone marrow),Lymphangiography (diagnose lymphoma),Microwave therapy (destroy tissue with heat),Plasmapheresis (replacement of the liquid in blood),Photodynamic therapy (PDT, cancer therapy using light),Biological therapy (immune system modification to treat disease),Bone marrow biopsy (bone marrow sample),Bone marrow transplantation (replace bone marrow),Activated partial thromboplastin (PTT),Bleeding time (clotting blood test),Blood smear (microscopic blood evaluation),Brachytherapy (cancer treatment),Blood type,Clotting studies (blood clot tests),Coombs test (test for autoimmune cause of anemia),Haptoglobin (measure of red blood cell destruction),Complete blood count (CBC),Prothrombin time (PT, blood clotting test),Platelet aggregation test (blood clotting test),Blood cell count (reticulocyte count),Chemotherapy (cancer treatment),Combination chemotherapy (cancer treatment),Iron level,Cancer antigen 125 (CA-125),Ductal lavage (collect cells from milk ducts in breast),Endocrine therapy (hormone therapy),Laryngoscopy (camera examination inside throat),Thyroidectomy (remove thyroid),Caloric stimulation (test of ear and brain connection),Dix Hallpike maneuver (test for vertigo),Tympanoplasty (ear drum repair),Stapedectomy (removal of middle ear bone),Cochlear implant (implanted hearing device),Myringotomy and tympanostomy (ear tubes),Deviated septum (septoplasty),Tonsillectomy (removal of tonsils),Grommet removal (eardrum tube removal),Grommet insertion (eardrum tube insertion),Adenoidectomy (removal of adenoids),Audiology test (hearing test),Facial CT (CAT) scan without dye,Neck MRI without dye,Tympanometry (ear drum testing),Cervical spine MRI without dye (neck MRI),Cervical spine MRI with dye (neck MRI),Cervical spine CT without dye (neck CAT scan),Cervical spine CT with dye (neck CAT scan),Neck CTA (CT image of neck arteries),Ear wax removal,Throat culture,Electronystagmogram (electronystagmography, ENG, inner ear test),Abdominal hysterectomy (remove uterus),Pneumonectomy (remove lung),Thoracotomy (invasive surgery to examine inside the chest),Bladder biopsy (bladder sample),Complete hysterectomy (remove uterus)"
1008,"Coronary artery disease (CAD, heart disease)",22.0,"Amlodipine,Aspirin,Atorvastatin,Captopril,Clopidogrel,Diltiazem,Enalapril,Felodipine,Fenofibrate,Fluvastatin,Gemfibrozil,Lisinopril,Lovastatin,Niacin,Nifedipine,Nitroglycerin,Pravastatin,Quinapril,Ramipril,Rosuvastatin,Simvastatin,Verapamil",7.0,"Complete blood count (CBC),Comprehensive metabolic panel (CMP),CT Scan,D-Dimer,Electrocardiogram (EKG),Troponin,X-ray",3.0,"Cardiology,Interventional Cardiology,Cardiovascular Surgery",27.0,"ICD implantation (implant to monitor heart rhythm),Percutaneous transluminal coronary angioplasty (PTCA, minimally invasive therapy to open up blocked heart arteries),Stent (mesh tube to treat narrow or weak blood vessels),Stress test (test for heart disease),Swan Ganz catheter placement (tube in jugular vein to measure heart pressures),Thallium stress test (chemical test for heart disease),Tilt table test (evaluates fainting spells),Exercise stress test (heart test during exercise),Cardiopulmonary resuscitation (CPR),Brain natriuretic peptide (BNP, blood test for heart failure),Cardiac event monitor (recording of heart's electrical activity),Holter monitor (portable heart monitor),Cholesterol (HDL, LDL, blood fat tests),Blood test for heart damage (troponin test),Cardiac catheterization (heart artery pictures),Cardioversion (convert to normal heart rhythm),HDL cholesterol (high-density lipoprotein, good cholesterol),LDL cholesterol (low-density lipoprotein, bad cholesterol),Transesophageal echocardiogram (TEE),Valsalva's maneuver,Coronary angiogram (x-ray heart arteries),Coronary angioplasty (unclog heart arteries),Defibrillation (start normal heart rhythm using electricity),Echocardiography (ultrasound of the heart, echocardiogram),Electrocardiogram (EKG or ECG, recording of heart electricity),Angioplasty (open blocked artery),Balloon angioplasty (open artery)"
