medical_specialty_id,specialty_name,specialty_description
183,General Surgery,
184,Gastroenterology,
188,Internal Medicine,
191,Orthopedic Surgery,
195,Neurosurgery,
197,Ophthalmology,
202,Psychiatry,
226,Emergency Medicine,
228,Rheumatology,
242,Cardiothoracic Surgery,
249,Cardiology,
256,Dermatology,
270,Urology,
273,Neurology,
335,Hand Surgery,
365,Pediatrics,
380,Pulmonology,
414,Endocrinology,
456,Plastic Surgery,
516,Vascular Surgery,
595,Pediatric Surgery,
602,Nephrology,
774,Trauma Surgery,
1191,Geriatric Psychiatry,
1192,Psychosomatic Medicine,
1193,Obstetrics and Gynecology,
1194,Thoracic Surgery,
1195,Anesthesiology,
1196,Family Practice,
1197,Cancer Care (oncology),
1198,Surgery (Other),
1199,Neonatal and Perinatal Medicine,
1200,Pediatric Critical Care Medicine,
1201,Blood and Cancer Care (hematology and oncology),
1202,Interventional Cardiology,
1203,Diagnostic Radiology,
1204,"Ear, Nose, and Throat (ENT)",
1205,Pain Medicine,
1206,Critical Care Medicine,
1207,Adolescent Medicine,
1208,Sports Medicine,
1210,Nuclear Radiology,
1212,Clinical Pathology,
1213,Blood Banking and Transfusion Medicine,
1214,Allergy and Immunology,
1215,Other,
1216,Anatomic and Clinical Pathology,
1217,Nuclear Medicine,
1218,Vascular and Interventional Radiology,
1219,Pediatric Neurology,
1220,Diagnostic Ultrasound,
1221,Pediatric Gastroenterology,
1222,Dermatological Immunology and Diagnostic Laboratory,
1223,Dermatopathology,
1224,Radiation Oncology,
1225,Pediatric Emergency Medicine,
1226,Pediatric and Adolescent Psychiatry,
1227,Geriatric Medicine,
1228,Maternal and Fetal Medicine,
1229,Occupational Medicine,
1230,Facial Plastic Surgery,
1231,Plastic Surgery within the Head and Neck,
1232,Pediatric Radiology,
1233,Infectious Disease Medicine,
1234,Neuroradiology,
1235,Cardiac Surgery,
1236,Vascular Neurology,
1237,Cytopathology,
1238,Pediatric Cardiology,
1239,Critical Care Surgery,
1240,"Diabetes, Endocrinology and Metabolism",
1241,Colon and Rectal Surgery,
1242,Phlebology,
1243,Pediatric Pulmonology,
1244,Aerospace Medicine,
1245,Immunopathology,
1246,Forensic Pathology,
1247,Infertility and Reproductive Endocrinology,
1248,Radiology,
1249,Addiction Psychiatry,
