_id,content_reviewable_id,content_reviewable_type,content_field,content_reviewer_id
3,1,Procedure,common_complications,1
4,2,Procedure,name,1
5,2,Procedure,description,1
6,2,Procedure,common_complications,1
7,3,Procedure,name,1
8,3,Procedure,description,1
9,3,Procedure,common_complications,1
10,4,Procedure,name,1
11,4,Procedure,description,1
12,4,Procedure,common_complications,1
13,5,Procedure,name,1
14,5,Procedure,description,1
15,5,Procedure,common_complications,1
16,6,Procedure,name,1
17,6,Procedure,description,1
18,6,Procedure,common_complications,1
19,7,Procedure,name,1
20,7,Procedure,description,1
21,7,Procedure,common_complications,1
22,8,Procedure,name,1
23,8,Procedure,description,1
24,8,Procedure,common_complications,1
25,9,Procedure,name,1
26,9,Procedure,description,1
27,9,Procedure,common_complications,1
28,10,Procedure,name,1
29,10,Procedure,description,1
30,10,Procedure,common_complications,1
31,11,Procedure,name,1
32,11,Procedure,description,1
33,11,Procedure,common_complications,1
34,12,Procedure,name,1
35,12,Procedure,description,1
36,12,Procedure,common_complications,1
37,13,Procedure,name,1
38,13,Procedure,description,1
39,13,Procedure,common_complications,1
40,14,Procedure,name,1
41,14,Procedure,description,1
42,14,Procedure,common_complications,1
43,15,Procedure,name,1
44,15,Procedure,description,1
45,15,Procedure,common_complications,1
46,16,Procedure,name,1
47,16,Procedure,description,1
48,16,Procedure,common_complications,1
49,17,Procedure,name,1
50,17,Procedure,description,1
51,17,Procedure,common_complications,1
52,18,Procedure,name,1
53,18,Procedure,description,1
54,18,Procedure,common_complications,1
55,19,Procedure,name,1
56,19,Procedure,description,1
57,19,Procedure,common_complications,1
58,20,Procedure,name,1
59,20,Procedure,description,1
60,20,Procedure,common_complications,1
61,21,Procedure,name,1
62,21,Procedure,description,1
63,21,Procedure,common_complications,1
64,22,Procedure,name,1
65,22,Procedure,description,1
66,22,Procedure,common_complications,1
67,23,Procedure,name,1
68,23,Procedure,description,1
69,23,Procedure,common_complications,1
70,24,Procedure,name,1
71,24,Procedure,description,1
72,24,Procedure,common_complications,1
73,25,Procedure,name,1
74,25,Procedure,description,1
75,25,Procedure,common_complications,1
76,26,Procedure,name,1
77,26,Procedure,description,1
78,26,Procedure,common_complications,1
79,27,Procedure,name,1
80,27,Procedure,description,1
81,27,Procedure,common_complications,1
82,28,Procedure,name,1
83,28,Procedure,description,1
84,28,Procedure,common_complications,1
85,29,Procedure,name,1
86,29,Procedure,description,1
87,29,Procedure,common_complications,1
88,30,Procedure,name,1
89,30,Procedure,description,1
90,30,Procedure,common_complications,1
91,31,Procedure,name,1
92,31,Procedure,description,1
93,31,Procedure,common_complications,1
94,32,Procedure,name,1
95,32,Procedure,description,1
