_id,diagnosis_id,medication_id,created_at,updated_at
1,4,872,2011-04-21 20:46:13,2011-04-21 20:46:13
2,4,261,2011-04-21 20:46:13,2011-04-21 20:46:13
3,4,417,2011-04-21 20:46:13,2011-04-21 20:46:13
4,4,629,2011-04-21 20:46:13,2011-04-21 20:46:13
5,4,768,2011-04-21 20:46:13,2011-04-21 20:46:13
12,5,524,2011-04-21 20:46:14,2011-04-21 20:46:14
14,8,261,2011-04-21 20:46:14,2011-04-21 20:46:14
15,8,417,2011-04-21 20:46:14,2011-04-21 20:46:14
16,8,629,2011-04-21 20:46:14,2011-04-21 20:46:14
17,8,768,2011-04-21 20:46:14,2011-04-21 20:46:14
18,8,185,2011-04-21 20:46:14,2011-04-21 20:46:14
19,8,219,2011-04-21 20:46:14,2011-04-21 20:46:14
21,8,358,2011-04-21 20:46:14,2011-04-21 20:46:14
22,8,396,2011-04-21 20:46:14,2011-04-21 20:46:14
23,8,464,2011-04-21 20:46:14,2011-04-21 20:46:14
24,8,556,2011-04-21 20:46:14,2011-04-21 20:46:14
25,8,715,2011-04-21 20:46:14,2011-04-21 20:46:14
26,8,862,2011-04-21 20:46:14,2011-04-21 20:46:14
27,8,915,2011-04-21 20:46:14,2011-04-21 20:46:14
28,9,261,2011-04-21 20:46:14,2011-04-21 20:46:14
29,9,417,2011-04-21 20:46:14,2011-04-21 20:46:14
30,9,629,2011-04-21 20:46:14,2011-04-21 20:46:14
31,9,768,2011-04-21 20:46:14,2011-04-21 20:46:14
32,9,185,2011-04-21 20:46:14,2011-04-21 20:46:14
33,9,219,2011-04-21 20:46:14,2011-04-21 20:46:14
35,9,358,2011-04-21 20:46:15,2011-04-21 20:46:15
36,9,396,2011-04-21 20:46:15,2011-04-21 20:46:15
37,9,464,2011-04-21 20:46:15,2011-04-21 20:46:15
38,9,556,2011-04-21 20:46:15,2011-04-21 20:46:15
39,9,715,2011-04-21 20:46:15,2011-04-21 20:46:15
40,9,862,2011-04-21 20:46:15,2011-04-21 20:46:15
41,9,915,2011-04-21 20:46:15,2011-04-21 20:46:15
42,10,201,2011-04-21 20:46:15,2011-04-21 20:46:15
43,10,536,2011-04-21 20:46:15,2011-04-21 20:46:15
44,10,609,2011-04-21 20:46:15,2011-04-21 20:46:15
45,10,834,2011-04-21 20:46:15,2011-04-21 20:46:15
46,13,261,2011-04-21 20:46:15,2011-04-21 20:46:15
47,13,417,2011-04-21 20:46:15,2011-04-21 20:46:15
48,13,629,2011-04-21 20:46:15,2011-04-21 20:46:15
49,13,768,2011-04-21 20:46:15,2011-04-21 20:46:15
50,13,185,2011-04-21 20:46:15,2011-04-21 20:46:15
51,13,219,2011-04-21 20:46:15,2011-04-21 20:46:15
53,13,358,2011-04-21 20:46:15,2011-04-21 20:46:15
54,13,396,2011-04-21 20:46:15,2011-04-21 20:46:15
55,13,464,2011-04-21 20:46:15,2011-04-21 20:46:15
56,13,556,2011-04-21 20:46:15,2011-04-21 20:46:15
57,13,715,2011-04-21 20:46:15,2011-04-21 20:46:15
58,13,862,2011-04-21 20:46:15,2011-04-21 20:46:15
59,13,915,2011-04-21 20:46:15,2011-04-21 20:46:15
60,14,744,2011-04-21 20:46:15,2011-04-21 20:46:15
61,14,185,2011-04-21 20:46:15,2011-04-21 20:46:15
62,14,219,2011-04-21 20:46:15,2011-04-21 20:46:15
64,14,358,2011-04-21 20:46:15,2011-04-21 20:46:15
65,14,396,2011-04-21 20:46:15,2011-04-21 20:46:15
66,14,464,2011-04-21 20:46:15,2011-04-21 20:46:15
67,14,556,2011-04-21 20:46:15,2011-04-21 20:46:15
68,14,715,2011-04-21 20:46:15,2011-04-21 20:46:15
69,14,862,2011-04-21 20:46:15,2011-04-21 20:46:15
70,14,915,2011-04-21 20:46:16,2011-04-21 20:46:16
72,16,417,2011-04-21 20:46:16,2011-04-21 20:46:16
73,16,629,2011-04-21 20:46:16,2011-04-21 20:46:16
74,16,768,2011-04-21 20:46:16,2011-04-21 20:46:16
75,16,622,2011-04-21 20:46:16,2011-04-21 20:46:16
76,16,714,2011-04-21 20:46:16,2011-04-21 20:46:16
78,17,417,2011-04-21 20:46:16,2011-04-21 20:46:16
79,17,629,2011-04-21 20:46:16,2011-04-21 20:46:16
80,17,768,2011-04-21 20:46:16,2011-04-21 20:46:16
81,18,261,2011-04-21 20:46:16,2011-04-21 20:46:16
82,18,417,2011-04-21 20:46:16,2011-04-21 20:46:16
83,18,629,2011-04-21 20:46:16,2011-04-21 20:46:16
84,18,768,2011-04-21 20:46:16,2011-04-21 20:46:16
85,18,185,2011-04-21 20:46:16,2011-04-21 20:46:16
86,18,219,2011-04-21 20:46:16,2011-04-21 20:46:16
88,18,358,2011-04-21 20:46:16,2011-04-21 20:46:16
89,18,396,2011-04-21 20:46:16,2011-04-21 20:46:16
90,18,464,2011-04-21 20:46:16,2011-04-21 20:46:16
91,18,556,2011-04-21 20:46:16,2011-04-21 20:46:16
92,18,715,2011-04-21 20:46:16,2011-04-21 20:46:16
93,18,862,2011-04-21 20:46:16,2011-04-21 20:46:16
94,18,915,2011-04-21 20:46:16,2011-04-21 20:46:16
95,19,374,2011-04-21 20:46:17,2011-04-21 20:46:17
96,19,135,2011-04-21 20:46:17,2011-04-21 20:46:17
97,19,738,2011-04-21 20:46:17,2011-04-21 20:46:17
98,19,585,2011-04-21 20:46:17,2011-04-21 20:46:17
99,19,25,2011-04-21 20:46:17,2011-04-21 20:46:17
100,19,305,2011-04-21 20:46:17,2011-04-21 20:46:17
101,19,618,2011-04-21 20:46:17,2011-04-21 20:46:17
102,19,820,2011-04-21 20:46:17,2011-04-21 20:46:17
103,19,697,2011-04-21 20:46:17,2011-04-21 20:46:17
104,19,327,2011-04-21 20:46:17,2011-04-21 20:46:17
105,19,805,2011-04-21 20:46:17,2011-04-21 20:46:17
106,19,728,2011-04-21 20:46:17,2011-04-21 20:46:17
107,19,491,2011-04-21 20:46:17,2011-04-21 20:46:17
108,19,635,2011-04-21 20:46:17,2011-04-21 20:46:17
109,19,64,2011-04-21 20:46:17,2011-04-21 20:46:17
110,19,275,2011-04-21 20:46:17,2011-04-21 20:46:17
111,19,737,2011-04-21 20:46:17,2011-04-21 20:46:17
112,19,675,2011-04-21 20:46:17,2011-04-21 20:46:17
113,19,788,2011-04-21 20:46:17,2011-04-21 20:46:17
114,19,891,2011-04-21 20:46:17,2011-04-21 20:46:17
115,19,251,2011-04-21 20:46:17,2011-04-21 20:46:17
116,19,834,2011-04-21 20:46:17,2011-04-21 20:46:17
117,19,201,2011-04-21 20:46:17,2011-04-21 20:46:17
