_id,chief_complaint_id,diagnosis_id,most_common,common_peds,life_or_limb_threatening
3,1,163,1,,1
4,1,164,1,,1
5,1,165,1,0,
6,1,187,1,1,0
8,1,306,1,,1
9,1,307,1,,0
10,1,308,1,1,0
11,1,309,1,1,0
13,1,354,1,,0
18,1,401,1,,0
19,1,411,0,0,1
21,1,513,1,0,0
23,1,546,1,0,1
31,1,722,0,0,1
33,2,56,1,1,1
35,2,179,1,0,1
36,2,236,,,1
37,2,388,1,1,0
39,2,539,1,,0
40,2,540,0,0,1
41,2,557,1,,0
42,2,600,1,0,
44,2,793,1,1,0
45,2,795,1,,0
46,3,44,1,,
47,3,106,,,1
48,3,108,,,0
49,3,707,1,1,0
50,3,209,1,1,0
51,3,250,,,1
52,3,294,,,
53,3,432,,,
54,3,439,,,1
55,3,568,1,1,1
56,3,660,,,1
57,3,720,,,1
58,4,20,1,,0
59,4,22,1,,1
60,4,23,1,,1
62,4,25,1,,0
63,4,206,1,,1
67,5,93,1,,0
68,5,212,1,,1
70,5,372,,,1
71,5,378,1,,1
73,5,520,,,0
74,5,548,1,,
75,5,574,1,1,
76,5,595,1,1,
78,5,732,1,,
79,6,140,1,1,0
80,6,191,1,1,0
81,6,204,,,1
82,6,302,1,1,0
83,6,321,,,0
84,6,350,,,0
86,6,492,1,,1
87,6,532,1,,0
89,6,565,1,,0
91,6,662,1,0,0
92,6,689,,1,1
94,6,729,1,1,0
97,7,1,,,1
98,7,102,,,1
100,7,219,,,1
103,7,350,1,0,0
105,7,546,0,0,1
106,7,557,0,0,0
107,7,637,1,1,1
109,7,678,1,,0
111,7,723,0,0,0
112,7,729,1,1,0
113,7,776,,1,1
114,7,793,1,1,0
115,7,813,0,0,1
116,8,55,,,1
117,8,208,,,1
118,8,222,,,1
120,8,340,1,1,0
121,8,424,,1,0
122,8,436,1,,1
123,8,455,,1,0
124,8,484,,1,1
125,8,491,1,,1
126,8,652,,,1
127,8,828,,,0
128,8,830,1,,0
129,9,253,1,1,0
130,9,263,,,1
131,9,307,1,,0
132,9,341,,,0
133,9,345,,1,0
134,9,394,,1,1
135,9,399,,1,1
137,9,403,,,0
138,9,450,1,,0
140,9,712,,,0
144,10,32,,,
146,10,125,1,1,1
147,10,178,1,,0
148,10,179,1,,1
149,10,197,1,,1
151,10,231,1,1,1
154,10,393,1,,1
155,10,394,,1,1
156,10,399,,1,1
157,10,450,0,0,0
160,10,670,1,1,1
161,10,675,,,0
162,10,697,1,1,1
164,10,788,1,,0
165,10,830,1,,0
166,11,108,1,,0
167,11,109,1,,0
169,11,111,1,,0
170,11,140,1,,0
171,11,191,1,1,0
172,11,289,1,,0
175,11,453,1,,
178,12,9,1,0,0
179,12,78,1,,
180,12,183,,,1
181,12,140,1,1,0
182,12,191,1,1,0
183,12,204,1,,1
184,12,220,0,0,0
185,12,302,0,1,0
186,12,321,,,0
187,12,566,0,0,0
188,12,729,1,1,0
192,13,195,1,1,0
193,13,221,1,,1
194,13,224,1,,1
200,13,265,1,,
202,13,309,1,1,0
203,13,354,1,,0
207,13,471,,,0
208,13,492,1,,1
210,13,561,1,,1
213,13,585,1,1,1
214,13,586,1,1,1
215,13,608,,,0
216,13,617,1,,1
218,13,698,1,,0
221,13,789,1,,1
223,14,140,1,1,0
227,14,252,,1,1
230,14,387,1,1,0
231,14,443,,,0
232,14,447,,,1
234,14,462,,,1
235,14,474,1,1,0
236,14,536,1,1,0
237,14,557,1,,0
238,14,567,,,1
239,14,572,1,1,
240,14,585,1,1,1
241,14,674,1,1,
243,14,704,1,1,0
245,14,790,1,1,0
246,14,793,1,1,0
247,14,800,1,1,0
250,15,23,1,,1
252,15,39,0,0,0
253,15,128,1,1,1
255,15,146,1,,1
258,15,205,1,1,1
260,15,215,1,1,1
261,15,225,1,0,1
262,15,246,,,1
264,15,251,1,1,1
267,15,372,1,1,1
268,15,375,1,,1
270,15,377,1,,0
271,15,378,1,1,1
273,15,395,1,,1
274,15,448,,,1
275,15,462,1,1,1
279,15,657,1,1,1
282,15,736,1,,1
285,16,36,,1,0
287,16,179,1,,1
288,16,180,1,,1
289,16,205,1,1,1
290,16,282,1,1,0
291,16,343,1,,0
293,16,373,0,0,1
294,16,377,1,,0
297,16,401,1,1,0
299,16,415,,,
303,16,549,,,
304,16,599,1,0,
306,17,5,1,,0
307,17,69,1,1,1
309,17,113,0,0,1
310,17,115,1,1,
311,17,170,1,0,0
312,17,185,1,,1
314,17,309,,1,0
315,17,413,1,1,0
318,17,585,1,1,1
324,17,836,1,1,1
329,18,197,1,1,1
330,18,263,1,,1
333,18,345,,1,0
334,18,307,1,,0
335,18,399,,1,1
337,18,450,1,,0
338,18,456,,1,0
339,18,712,1,,0
342,18,826,,,1
343,18,830,1,,0
345,19,737,1,,
346,19,93,1,1,0
347,19,445,1,,1
348,19,595,1,,
350,19,212,1,1,1
351,20,74,1,1,1
354,20,197,1,0,1
356,20,202,0,0,0
358,20,231,1,1,1
363,20,401,1,1,0
367,20,446,1,1,0
369,20,547,,,1
370,20,668,1,1,
371,20,670,0,1,1
372,20,786,0,0,1
373,20,788,1,0,0
377,21,59,1,1,1
378,21,67,1,,1
379,21,99,1,,1
380,21,105,1,1,1
381,21,128,,1,1
383,21,146,1,,1
384,21,205,,1,1
385,21,536,0,1,0
387,21,376,1,1,1
388,21,483,,,0
390,21,548,,,
395,21,775,1,,1
396,22,756,1,1,1
397,22,214,1,1,0
398,22,454,,,0
399,22,508,,,0
400,22,523,1,1,
401,22,527,1,1,1
402,22,528,1,1,1
403,22,529,1,1,1
404,22,576,0,0,0
405,22,748,0,0,1
406,22,743,0,0,1
407,23,87,,,0
408,23,148,1,1,0
411,23,535,1,1,0
412,23,536,1,1,0
413,23,572,1,1,
414,23,642,,,0
415,23,785,1,1,0
416,24,87,,,0
417,24,148,1,1,0
418,24,167,,,0
420,24,535,1,1,0
421,24,536,1,1,0
422,24,572,1,1,
423,24,642,,,0
424,24,785,1,1,0
425,25,61,1,1,0
426,25,121,1,,0
427,25,140,1,1,0
428,25,191,1,1,0
429,25,220,0,1,0
430,25,302,1,1,0
431,25,321,1,0,0
432,25,414,1,,0
435,25,639,1,1,0
436,25,689,0,0,1
437,25,729,1,1,0
438,25,740,0,1,0
440,26,14,,,1
441,26,98,,,
442,26,136,,,1
443,26,186,1,1,0
444,26,192,1,1,0
445,26,193,1,1,0
446,26,300,,,0
447,26,319,,,1
448,26,358,1,1,
449,26,370,1,1,
450,26,405,,,
451,26,469,1,,0
452,26,524,,,1
453,26,527,,1,1
454,26,563,1,1,1
455,26,704,1,1,0
456,26,748,,,1
457,26,774,,,0
458,26,799,1,,0
459,27,87,,,0
460,27,173,,,0
461,27,191,1,1,0
462,27,209,1,1,0
463,27,454,,,0
464,27,553,,,0
465,27,698,1,,0
466,27,701,,,0
467,27,704,1,1,0
468,27,748,1,0,1
469,27,750,1,,0
470,27,782,1,0,0
473,28,59,1,1,1
474,28,68,0,0,1
475,28,99,1,1,1
477,28,146,,,1
478,28,310,1,1,1
479,28,368,0,1,1
480,28,376,1,1,1
482,28,597,1,0,0
483,28,775,0,0,1
485,28,811,1,1,0
486,28,838,,1,1
488,29,140,1,1,0
489,29,163,1,,1
491,29,224,,,1
492,29,252,,1,1
494,29,327,1,1,0
495,29,387,1,1,0
498,29,447,,,1
499,29,455,,1,0
500,29,462,,1,1
501,29,474,1,1,0
502,29,536,1,1,0
503,29,557,1,,0
505,29,572,1,1,
506,29,585,1,1,1
509,29,790,1,1,0
510,29,773,,,1
511,29,704,1,1,0
512,29,793,1,1,0
513,29,800,,1,0
514,30,32,,,
515,30,125,1,1,1
516,30,155,,,1
517,30,166,,,1
518,30,208,1,1,1
519,30,231,1,1,1
520,30,239,,,1
521,30,292,,,
522,30,317,1,1,0
523,30,328,,,1
524,30,347,1,1,0
526,30,421,,,1
527,30,422,0,0,1
528,30,423,0,0,1
529,30,442,0,0,1
530,30,447,1,1,1
531,30,517,,,0
532,30,522,0,0,1
533,30,580,,,1
534,30,666,0,0,1
535,30,668,,1,
537,30,671,,,1
538,30,675,,,0
539,30,697,1,1,1
540,30,714,,,1
542,30,783,,,0
543,30,786,1,1,1
544,30,819,,,1
545,30,821,,,1
546,30,833,1,1,1
547,30,841,1,1,1
549,31,822,,1,0
550,31,75,,1,1
551,31,304,1,1,0
552,31,550,1,1,1
553,31,126,1,,0
554,31,386,1,,0
555,31,70,1,,0
556,32,1,,,1
558,32,163,,,1
559,32,165,1,,
562,32,197,,,1
563,32,179,1,,1
567,32,513,1,,0
569,32,637,1,1,1
570,32,659,1,,1
573,32,788,,,0
574,32,793,1,1,0
576,33,89,1,,0
577,33,95,,,0
578,33,96,,,0
579,33,201,1,,0
580,33,511,,,0
581,33,513,1,0,0
582,33,609,,,0
583,33,611,1,,0
584,33,637,1,1,1
585,33,792,1,1,0
586,33,793,1,1,0
587,33,794,,1,0
588,34,61,,,0
589,34,140,1,1,0
590,34,191,1,1,0
591,34,220,1,1,0
593,34,321,,,0
594,34,410,1,1,0
595,34,449,1,,
596,34,552,1,1,0
598,34,738,1,1,
599,34,751,1,,0
600,34,752,,,0
601,35,124,1,,0
602,35,140,1,1,0
603,35,183,,,1
604,35,276,,,0
606,35,321,1,,0
607,35,323,1,,0
608,35,324,1,,0
609,35,565,1,,0
610,35,581,1,,0
611,35,582,,1,0
612,35,621,,1,
613,35,724,1,1,0
614,35,747,,,0
615,35,751,1,,0
616,36,159,1,1,1
617,36,54,,,0
619,36,59,,,1
622,36,177,1,1,0
624,36,210,1,,0
626,36,302,,,0
627,36,308,1,1,0
628,36,399,1,1,1
629,36,462,,,1
632,36,687,1,1,1
633,36,730,,,1
634,36,736,,,1
638,37,284,,,1
639,37,388,1,1,0
640,37,285,,,
641,37,244,1,1,0
642,37,513,1,,0
644,37,426,1,,0
645,37,204,1,,1
648,38,23,1,,1
649,38,33,1,,1
651,38,93,,,0
654,38,444,1,,
658,38,677,1,1,1
659,38,749,1,1,1
660,39,61,1,,0
661,39,133,1,,0
662,39,140,1,1,0
663,39,151,,,0
665,39,191,1,1,0
667,39,220,,,0
669,39,321,,,0
670,39,339,,,
676,39,751,1,,0
677,40,30,1,1,1
678,40,83,,,1
679,40,143,,,0
680,40,147,,,1
681,40,152,1,,1
682,40,184,1,1,0
683,40,191,1,1,0
684,40,251,1,1,1
685,40,253,1,1,0
686,40,331,1,1,0
