_id,insurance_carrier_id,name
1,1,Consumer Health Advantage
2,1,Consumer Health Select
3,1,Signature Advantage
4,1,Signature Freedom
5,1,Signature Select
6,2,Health Savings Account
7,2,NowSelect
8,2,Summit
9,3,Activate
10,3,Engage
11,3,Innova
12,4,Classic Comprehensive
13,4,Classic Plus PPO Benefit Designs (1700 Series)
14,4,Classic PPO Benefit Designs (1200 Series)
15,4,Classic Value PPO Benefit Designs (1400 Series)
16,5,Coast to Coast Vision
17,5,Bonus Benefits
19,7,PacifiCare SignatureValue® (HMO)
20,7,PacifiCare SignatureEliteSM (PPO)
21,7,PacifiCare SignatureIndependence® (Indemnity)
22,7,Medicare Advantage
23,7,PacifiCare SignatureFreedom®
24,8,Cost-sharing HMO
25,8,High-deductible health plan (HDHP) HMO
26,8,HMO
27,8,HSA-Qualified Deductible HMO Plan
28,8,Multi-Choice Max Plan
29,8,Multi-Choice Plan
30,8,Out-of-area PPO
31,8,POS
32,8,PPO
33,8,Traditional HMO
34,9,CoverageFirst
35,9,Flexible Spending Account (FSA)
36,9,Health Maintenance Organization (HMO)
37,9,High Deductible Health Plan (HDHP)
38,9,Humana Classic (out-of-area plan)
39,9,Humana Medicare
40,9,HumanaOne
41,9,Personal Care Account (PCA) PPO
42,9,Point of Service (POS)
43,9,Preferred Provider Organization (PPO)
44,10,HMO
45,10,POS
46,10,HDHP
47,11,AmeriHealth 65 HMO
48,11,AmeriHealth HMO
49,11,AmeriHealth Mercy
50,11,AmeriHealth POS
51,11,AmeriHealth PPO
52,12,Affinity Network Health Plan
53,13,Connecticut Blue Ribbon
54,13,Delaware Basic Indemnity and Standard Indemnity
55,13,Freedom Plan® AccessSM and Liberty Plan AccessSM 3
56,13,Freedom Plan® and Liberty PlanSM 3 
57,13,Freedom Plan® ClassicSM and Liberty Plan ClassicSM 3
58,13,Freedom Plan® DirectSM and Liberty Plan DirectSM 3
59,13,Freedom Plan® Laurel SelectSM
60,13,Freedom Plan® LaurelSM
61,13,Freedom Plan® MetroSM and Liberty Plan MetroSM 3
62,13,Freedom Plan® SelectSM 4 and Liberty Plan SelectSM 4
63,13,Freedom Plan® Value OptionSM
64,13,Healthy New York
65,13,HMO Laurel SelectSM
66,13,HMO LaurelSM
67,13,HMO Select/Freedom Network and HMO Select/Liberty Network3
68,13,HMO/Freedom Network and HMO/Liberty Network3
69,13,Individual Plan
70,13,Oxford Consumer Options SuiteSM
71,13,Oxford Exclusive PlanSM
72,13,Oxford Exclusive PlanSM Metro
73,13,Oxford HSA
74,13,Oxford MyPlan
75,13,Oxford USAsm
76,14,Mutual of Omaha Health Insurance
77,15,Medicaid
78,16,CompreHealth
79,16,CompreHealth EPO
80,16,CompreHealth PPO
81,16,ConsumerDirect EPO
82,16,ConsumerDirect PPO
84,16,InBalance EPO
85,16,InBalance PPO
86,16,EmblemHealth PPO
87,17,Anthem Blue Cross HMO
88,17,Anthem Blue Cross PPO
89,17,Anthem Blue Cross POS
90,17,Anthem Blue Cross Senior Secure
91,18,HMO
92,18,POS
93,18,PPO
94,18,Traditional
95,19,POS
96,19,PPO
97,19,QHDHP
98,20,HealthSave
99,20,HMO/Plus
100,20,Nationcare
101,20,Select Med
102,20,Select Value
103,20,SelectCare
112,22,HMO
113,22,POS
114,22,PPO
115,23,HMO
116,23,PPO
117,24,Medicare
118,25,HIP Classic® HMO
119,25,HIP Prime® EPO
120,25,HIP Prime® HMO
121,25,HIP Prime® POS
122,25,HIP Prime® PPO
123,25,HIP Select® EPO
124,25,HIP Select® PPO
125,25,HIP SmartStart® EPO
126,25,HIP VIP® Medicare Plan
127,25,HIPaccess® I
128,25,HIPaccess® II
129,25,myFund®
130,25,Premium EPO
131,25,Premium HMO
132,25,Premium POS
133,25,Premium PPO
134,26,HMO
135,26,POS
136,26,PPO
137,27,Health Savings Advantage HDHP
138,27,High Deductible
139,27,High Option
140,27,Standard Option
141,28,HMO
142,29,HMO
143,29,POS
144,29,PPO
145,30,BlueChoices Basic
146,30,BlueChoices BlueAdvantage
147,30,Health Savings Account
148,31,HMO
149,31,HMO Silver Network
150,31,Elect Open Access (EOA) and EOA Silver Network
151,31,PPO
152,31,POS
153,31,Primary EPO
154,32,Direct HMO
