_id,name,specialty_type,approved,premier
1,Starmark,medical,1,
2,Regence Blue Shield of Idaho,medical,1,
3,Regence,medical,1,
4,Principal Financial Group,medical,1,
5,DentalPlans.com Vision,medical,1,
6,Asuris Northwest Health,medical,1,
7,PacifiCare (UnitedHealthcare company),medical,1,
8,Kaiser Permanente,medical,1,
9,Humana,medical,1,
10,"Health First Health Plan, Inc",medical,1,0
11,AmeriHealth,medical,1,
12,Affinity Health Plan,medical,1,
13,Oxford Health Plans (United Healthcare Company),medical,1,
14,Mutual of Omaha Insurance Company,medical,1,
15,Medicaid,medical,1,
16,EmblemHealth,medical,1,
17,Anthem Blue Cross and Blue Shield,medical,1,
18,WellsFargo,medical,1,
19,Significa,medical,1,
20,Select Health,medical,1,
21,Independent Health,medical,1,
22,Blue Cross Blue Shield of Mississippi,medical,1,
23,Premera Blue Cross,medical,1,
24,Medicare,medical,1,
25,HIP Health Plans of New York,medical,1,
26,Harvard Pilgrim Health Care,medical,1,
27,GEHA Health Plans,medical,1,
28,CarePlus Health Plan,medical,1,
29,SummaCare,medical,1,
30,Regence Blue Cross Blue Shield of Utah,medical,1,
31,Health Net,medical,1,
32,Empire Blue Cross Blue Shield of New York,medical,1,
33,Aetna,medical,1,0
34,Independence Blue Cross,medical,1,
35,Highmark Blue Cross Blue Shield,medical,1,
36,Health Alliance Plan (HAP),medical,1,0
37,AmeriChoice by UnitedHealthcare of Iowa,medical,1,
38,Workers Compensation,medical,1,
39,UNICARE Life & Health Insurance Company,medical,1,
40,Nationwide Health Plan,medical,1,
41,MVP HealthCare,medical,1,
42,Horizon Blue Cross Blue Shield,medical,1,
43,HealthSpring,medical,1,
44,Coventry Health Care,medical,1,
45,Cigna,medical,1,
46,Blue Cross Blue Shield of Arkansas,medical,1,
47,AIG,medical,1,0
48,AFLAC,medical,1,
49,United HealthCare,medical,1,
50,Providence Health Plans,medical,1,
51,CareFirst Blue Cross Blue Shield,medical,1,
52,MAPFRE | Health,medical,1,
53,Affinity Dental Health Plan,dental,1,
54,Qualcare,medical,1,
55,Self Pay,medical,1,
56,CHS,medical,1,
57,Bollinger,medical,1,
58,SutterSelect,medical,1,
59,SCAN Health Plan,medical,1,
60,Blue Shield of California,medical,1,
61,Anthem Blue Cross Blue Shield of California,medical,1,
62,Medical Mutual of Ohio,medical,1,
63,Aetna (Dental),dental,1,
64,Hometown Health Inc. ,medical,1,
65,HealthSmart,medical,1,
66,United Medical Resources,medical,1,
67,TRICARE North Region (Health Net),medical,1,
68,TRICARE South Region ,medical,1,0
69,UnitedHealthcare  Military & Services,medical,1,0
70,Capital Health Plan,medical,1,
71,Health New England,medical,1,
72,Welborn Health Plans,medical,1,
73,Blue Cross and Blue Shield of Michigan,medical,1,
74,HealthPartners,medical,1,
75,"QualChoice of Arkansas, Inc",medical,1,
76,The Empire Plan - United Health Care,medical,1,
77,WellCare,medical,1,
78,Provider One,medical,1,
79,Banner Health - Self Insured,medical,1,
80,Priority Health,medical,1,
81,Optima Health,medical,1,
82,Altius/Coventry,medical,1,
83,Lutheran Preferred,medical,1,
84,Cos Healthplan,medical,1,
85,Blue Cross and Blue Shield (Federal employment plan),medical,1,
86,Tufts Health Plan,medical,1,
87,"Capital District Physicians Health Plan, Inc. (CDPHP)",medical,1,
88,Universal Healthcare,medical,1,
89,CommunityCare of Oklahoma,medical,1,
90,Blue Cross Blue Shield of Wyoming,medical,1,
91,ODS Health Plan,medical,1,
92,Keystone Mercy Health Plan,medical,1,
93,Bravo Health Mid-Atlantic,medical,1,
94,Medica Healthcare Plans Inc,medical,1,
95,PCIP,medical,1,
96,Employer Contracted,medical,1,
97,Allegiance,medical,1,
98,Amerigroup,medical,1,
99,Johns Hopkins Health,medical,1,
100,Maryland Physicians Care,medical,1,
101,Priority Partners,medical,1,
102,Johns Hopkins Employer Health Program,medical,1,
103,Sagamore Health Network,medical,1,
104,Blue Cross Blue Shield of Texas,medical,1,
105,Oxford Medicare Advantage,medical,1,
106,Fallon Community Health Plan,medical,1,
107,Mutual Medical,medical,1,
108,AFLAC Dental,dental,1,0
109,HealthLink PPO,medical,1,
110,HealthLink Open Access III,medical,1,
111,Presbyterian Health Plan,medical,1,
112,Abrazo Advantage Health Plan,medical,1,
113,Alameda Alliance for Health,medical,1,
114,"Alliant Health Plans, Inc",medical,1,
115,AlohaCare,medical,1,
116,American Republic Insurance Company,medical,1,
117,Wisconsin Physicians Service Insurance Corp,medical,1,
118,American Specialty Health Incorporated,medical,1,
119,America's 1st Choice Health Plans of Georgia,medical,1,
120,America's 1st Choice Health Plans of South Carolina,medical,1,
121,America's 1st Choice Health Plans of North Carolina,medical,1,
122,"Windsor Health Plan, Inc.",medical,1,
123,AmeriChoice by UnitedHealthcare of Florida,medical,1,
124,"Windsor Health Plan, Inc.- Medicare",medical,1,
125,Western Health Advantage,medical,1,
126,WellPath/Coventry Health Care of Carolina,medical,1,
127,AmeriChoice by UnitedHealthcare of Connecticut,medical,1,
128,Wellmark Blue Cross Blue Shield - South Dakota,medical,1,
129,AmeriChoice by UnitedHealthcare of New Jersey,medical,1,
130,Wellmark Blue Cross Blue Shield - Iowa,medical,1,
131,AmeriChoice by UnitedHealthcare of New York,medical,1,
132,"WellCare Health Plans, Inc - TX",medical,1,
133,"WellCare Health Plans, Inc - OH",medical,1,
134,"WellCare Health Plans, Inc - NY",medical,1,
135,"WellCare Health Plans, Inc - NJ",medical,1,
136,"WellCare Health Plans, Inc - MO",medical,1,
137,AmeriChoice by UnitedHealthcare of Pennsylvania,medical,1,
138,"WellCare Health Plans, Inc - LA",medical,1,
139,"WellCare Health Plans, Inc - IL",medical,1,
140,"WellCare Health Plans, inc - GA",medical,1,
141,AmeriChoice by UnitedHealthcare of Tennessee,medical,1,
142,"WellCare Health Plans, Inc - FL",medical,1,
143,"WellCare Health Plans, Inc - CT",medical,1,
144,VNSNY CHOICE,medical,1,
145,Viva Health,medical,1,
146,Coventry Health Care of Florida,medical,1,
147,AmeriHealth Mercy Health Plan,medical,1,
148,"Vantage Health Plan, Inc.",medical,1,
149,University Health Care Health Plans,medical,1,
150,University Health Alliance (UHA),medical,1,
151,Anthem Blue Cross Blue Shield of Colorado,medical,1,
152,Ucare ,medical,1,
153,Universal American Corp,medical,1,
154,Anthem Blue Cross Blue Shield of Colorado Dental,medical,1,
155,AmeriHealth Dental,dental,1,0
156,"Univera Community Health, Inc.",medical,1,
157,Union Pacific Railroad Employees Health Systems,medical,1,
158,Anthem Blue Cross Blue Shield of Connecticut,medical,1,
159,"Tufts Associated Health Plans, Inc.",medical,1,
160,Anthem Blue Cross Blue Shield of Georgia,medical,1,
161,Anthem Blue Cross Blue Shield of Indiana,medical,1,
162,Trillium Community Health Plan,medical,1,
163,"Total Health Care, Inc.",medical,1,
164,Anthem Blue Cross Blue Shield of Kentucky,medical,1,
165,"Total Care, Inc.",medical,1,
166,Anthem Blue Cross Blue Shield of Maine,medical,1,
167,Sutter SeniorCare,medical,1,
168,Suffolk Health Plan,medical,1,
169,Sterling Life Insurance Company,medical,1,
170,Anthem Blue Cross Blue Shield of Missouri,medical,1,
171,Anthem Blue Cross Blue Shield of Nevada,medical,1,
172,Southern Health / Coventry Health Care of Virginia (DC),medical,1,
173,Southeastern Indiana Health Organization (SIHO),medical,1,
174,South Country Health Alliance,medical,1,
175,Anthem Blue Cross Blue Shield of New Hampshire,medical,1,
176,Anthem Blue Cross Blue Shield of Ohio,medical,1,
177,"Sistemas Medicos Nacionales, S.A. (SIMNSA)",medical,1,
178,Anthem Blue Cross Blue Shield of Virginia,medical,1,
179,Anthem Blue Cross Blue Shield of Wisconsin,medical,1,
180,"SETON Health Plan, Inc.",medical,1,
181,"Sentara Health Plans, Inc.",medical,1,
182,Arcadian Health Plan/Desert Canyon Community Care,medical,1,
183,Senior Whole Health of New York,medical,1,
184,Senior Whole Health of Massachusetts,medical,1,
185,"Select Health of South Carolina, Inc.",medical,1,
186,Arcadian Health Plan/Arkansas/Texarkana Community Care,medical,1,
187,"Security Health Plan of Wisconsin, Inc.",medical,1,
188,Arcadian Community Care-CA,medical,1,
189,Scott and White Health Plan,medical,1,
190,Saint Mary's Health Plans,medical,1,
191,Arcadian Health Plan/Southeast Community Care,medical,1,
192,Arcadian Community Care-LA,medical,1,
193,Rocky Mountain Health Plans/Medicaid,medical,1,
194,Rocky Mountain Health Plans,medical,1,
195,Arcadian Health Plan/Northeast Community Care-ME,medical,1,
196,Puget Sound Health Partners,medical,1,
197,Arcadian Health Plan/Ozark Health Plan,medical,1,
198,Arcadian Health Plan/Northeast Community Care-NH,medical,1,
199,Arcadian Health Plan/Northeast Community Care-NY,medical,1,
200,Regence Blue Shield,medical,1,
201,Arcadian Health Plan/Southeast Community Care-NC,medical,1,
202,Arcadian Health Plan/Southeast Community Care-SC,medical,1,
203,Arcadian Health Plan/Texas Community Care,medical,1,
204,Arcadian Health Plan/Columbia Community Care,medical,1,
205,Regence Blue Cross Blue Shield of Oregon,medical,1,
206,Arcadian Health Plan/Spokane Community Care,medical,1,
207,Arcadian Health Plan/Southeast Community Care-VA,medical,1,
208,Providence Health Plan - Medicare plans,medical,1,
209,Arise Health Plan,medical,1,
210,Priority Health - HSA & HRA,medical,1,
211,Priority Health - (Self Funded - HSA) ,medical,1,
212,Assurant Health,medical,1,
213,PreferredOne Community Health Plan,medical,1,
214,"Preferred Medical Plan, Inc. (PMP)",medical,1,
215,"Preferred Health Systems / Preferred Plus of Kansas, Inc.",medical,1,
216,"Preferred Care Partners, Inc.",medical,1,
217,Piedmont Community Health Plan,medical,1,
218,"Physician's United Plan, Inc.",medical,1,
219,Physicians Plus Insurance Corporation,medical,1,
220,"Physicians Health Plan of Northern Indiana, Inc. (PHPNI)",medical,1,
221,Physicians Health Choice,medical,1,
222,Physicians' Benefits Trust,medical,1,
223,Phoenix Health Plan,medical,1,
224,PersonalCare / Coventry Health Care of Illinois,medical,1,
225,Peoples Health,medical,1,
226,Peach State Health Plan (Peach State),medical,1,
227,Blue Cross of Idaho Health Service,medical,1,
228,"Paramount Care of Michigan, Inc.",medical,1,
229,PacificSource Health Plans- OR,medical,1,
230,PacificSource Health Plans- MT,medical,1,
231,PacificSource Health Plans-ID,medical,1,
232,"Optimum HealthCare, Inc.",medical,1,
233,"ODS Health Plans, Inc.",medical,1,
234,New West Health Services,medical,1,
235,Network Health Plan,medical,1,
236,Network Health,medical,1,
237,Neighborhood Health Providers (NHP),medical,1,
238,"Neighborhood Health Plan of Rhode Island, Inc.",medical,1,
239,MVP Health Care Plan,medical,1,
240,High Mark West Virginia,medical,1,
241,Mount Carmel Health Plan,medical,1,
242,Molina Health Plan - TX,medical,1,
243,Molina Health Plan- NM,medical,1,
244,Molina Health Plan - FL,medical,1,
245,Molina Healthcare,medical,1,
246,"Midwest Health Plan, Inc.",medical,1,
247,Mid Rogue MRIPA HealthPlan,medical,1,
248,Metropolitan Health Plan (MHP),medical,1,
249,"MetroPlus Health Plan, Inc.",medical,1,
250,MercyCare Health Plans,medical,1,
251,"Mercy Health Plans, Inc.",medical,1,
252,MercyCare Advantage | Medicare,medical,1,
253,MedStar Family Choice,medical,1,
254,"Medical Associates Health Plan, Inc.",medical,1,
255,"Medica Healthcare Medicare Plans, Inc.",medical,1,
256,Medica Health Plans,medical,1,
257,MDWise,medical,1,
258,MD Care Healthplan (HMO),medical,1,
259,Martin's Point Health Care,medical,1,
260,Managed Health Services,medical,1,
261,MaineCare,medical,1,
262,Lovelace Health Plan,medical,1,
263,Lifewise Health Plan of Washington,medical,1,
264,LifeWise Health Plan of Oregon,medical,1,
265,Liberty Health Advantage,medical,1,
266,"Leon Medical Centers Health Plans, Inc.",medical,1,
267,LA Care Health Plan,medical,1,
268,KPS Health Plans,medical,1,
269,KelseyCare Advantage,medical,1,
270,"Kaiser Permanente Foundation Health Plan of the Northwest, Inc.",medical,1,
271,"Kaiser Permanente Foundation Health Plan of the Mid-Atlantic States, Inc.",medical,1,
272,"Kaiser Permanente Foundation Health Plan of Ohio, Inc.",medical,1,
273,"Kaiser Permanente Foundation Health Plan of Southern California, Inc.",medical,1,
274,"Kaiser Permanente Foundation Health Plan of Georgia, Inc.",medical,1,
275,"Kaiser Permanente Foundation Health Plan of Colorado, Inc.",medical,1,
276,JMH Health Plan,medical,1,
277,"Inter-County Health Plans, Inc.",medical,1,
278,Inter-Valley Health Plan,medical,1,
279,Inland Empire Health Plan,medical,1,
280,"Independent Health Association, Inc.",medical,1,
281,Independent Care Health Plan (iCare),medical,1,
282,Heart of America Health Plan,medical,1,
283,EmblemHealth | Medicare,medical,1,
284,HM Insurance Group,medical,1,
285,Hometown Health ,medical,1,
286,"Honored Citizens Choice Health Plan, Inc.",medical,1,
287,HuamanOne North Carolina,medical,1,
288,Hudson Health Plan,medical,1,
289,HumanaOne ,medical,1,
290,Blue Cross Blue Shield of Arkansas Dental,medical,1,
291,Asuris Northwest Health Dental,medical,1,
292,Atlantis Health Plan (AHP),medical,1,
293,ATRIO Health Plans,medical,1,
294,AultCare Health Plans,medical,1,
295,Avera Health Plans,medical,1,
296,"AvMed, Inc.",medical,1,
297,Bankers Life and Casualty Company,medical,1,
298,Beech Street,medical,1,
299,Blue Cross Blue Shield of Rhode Island,medical,1,
300,Blue Cross Blue Shield of Alabama,medical,1,
301,Blue Cross Blue Shield of Florida,medical,1,
302,Blue Cross Blue Shield of Illinois,medical,1,
303,Blue Cross Blue Shield of Mississippi Dental,medical,1,
304,Blue Cross Blue Shield of Rhode Island Dental,medical,1,
305,Blue Cross Blue Shield of Alabama Dental,medical,1,
306,Blue Cross Blue Shield of Florida Dental,medical,1,
307,Blue Cross Blue Shield of Illinois Dental,medical,1,
308,Blue Cross Blue Shield of Kansas,medical,1,
309,Blue Cross Blue Shield of Kansas Dental,medical,1,
310,Blue Cross Blue Shield of Kansas City,medical,1,
311,Blue Cross Blue Shield of Kansas City Dental,medical,1,
312,Blue Cross Blue Shield of Louisiana,medical,1,
313,Blue Cross Blue Shield of Montana,medical,1,
314,Blue Cross Blue Shield of Nebraska,medical,1,
315,Blue Cross Blue Shield of New Mexico,medical,1,
316,Blue Cross Blue Shield of New Mexico Dental,medical,1,
317,Blue Cross Blue Shield of North Carolina,medical,1,
318,Blue Cross Blue Shield of North Carolina Dental,medical,1,
319,Blue Cross Blue Shield of Oklahoma,medical,1,
320,Blue Cross Blue Shield of Oklahoma Dental,medical,1,
321,"Healthy Palm Beaches, Inc.",medical,1,
322,"HealthSun Health Plans, Inc.",medical,1,
323,Blue Cross Blue Shield of Vermont,medical,1,
324,Blue Cross and Blue Shield of Wyoming,medical,1,
325,HealthSpring West Tennessee/North Mississippi,medical,1,
326,Blue Cross Blue Shield of Arizona,medical,1,
327,HealthSpring of Texas,medical,1,
328,Blue Cross Blue Shield of Arizona Dental,medical,1,
329,Blue Cross Blue Shield of Delaware,medical,1,
330,Blue Cross Blue Shield of Delaware Dental,medical,1,
