_id,created_at,updated_at,deleted_at,last_updated_at,last_deleted_at,common_order,is_dental
183,2008-12-05 01:02:09,2014-01-24 21:21:49,,1390598509.725,,9,0
184,2008-12-05 01:02:09,2014-11-06 18:39:25,,1415299165.736,,8,0
188,2008-12-05 01:02:09,2014-07-01 17:08:48,,1404234528.457,,13,0
191,2008-12-05 01:02:09,2014-06-27 19:54:54,,1403898894.018,,19,0
195,2008-12-05 01:02:09,2014-07-01 23:03:55,,1404255835.189,,16,0
197,2008-12-05 01:02:09,2013-07-16 21:23:49,,1374009829.16,,18,0
202,2008-12-05 01:02:09,2014-09-05 19:05:28,,1409943928.233,,23,0
226,2008-12-05 01:02:09,2011-07-25 21:03:42,,1311627822.624,,,0
228,2008-12-05 01:02:09,2014-01-24 21:14:39,,1390598079.853,,25,0
242,2008-12-05 01:02:09,2012-07-19 04:58:00,,1341506963.163,,2,0
249,2008-12-05 01:02:09,2015-01-23 13:54:54,,1422021294.25,,1,0
256,2008-12-05 01:02:09,2012-07-19 04:58:00,,1341506973.671,,4,0
270,2008-12-05 01:02:09,2014-01-24 21:14:15,,1390598055.894,,27,0
273,2008-12-05 01:02:09,2014-01-24 21:20:51,,1390598451.312,,15,0
335,2008-12-05 01:02:09,2014-06-27 19:55:21,,1403898921.007,,10,0
365,2008-12-05 01:02:10,2014-01-24 21:17:24,,1390598244.321,,21,0
380,2008-12-05 01:02:10,2014-01-24 21:16:36,,1390598196.965,,24,0
414,2008-12-05 01:02:10,2014-01-24 21:22:51,,1390598571.964,,,0
456,2008-12-05 01:02:10,2014-01-24 21:17:08,,1390598228.082,,22,0
516,2008-12-05 01:02:10,2013-06-23 17:56:11,,1372010171.363,,28,0
595,2008-12-05 01:02:10,2011-07-25 21:03:43,,1311627823.14,,,0
602,2008-12-05 01:02:10,2014-01-24 21:21:06,,1390598466.25,,14,0
774,2008-12-05 01:02:11,2011-07-25 21:03:43,,1311627823.168,,,0
1191,2009-05-31 18:04:17,2014-09-05 19:05:06,,1409943906.36,,,0
1192,2009-05-31 18:04:17,2011-07-25 21:03:43,,1311627823.188,,,0
1193,2009-05-31 18:04:18,2014-01-24 21:20:08,,1390598408.321,,17,0
1194,2009-05-31 18:04:18,2011-07-25 21:03:43,,1311627823.208,,,0
1195,2009-05-31 18:04:18,2012-07-05 16:49:08,,1341506948.059,,,0
1196,2009-05-31 18:04:18,2015-05-28 15:05:22,,1432825522.116,,7,0
1197,2009-05-31 18:04:19,2013-12-09 15:29:23,,1386602963.211,,,0
1198,2009-05-31 18:04:19,2011-07-25 21:03:43,,1311627823.244,,,0
1199,2009-05-31 18:04:19,2013-07-16 21:22:15,,1374009735.194,,,0
1200,2009-05-31 18:04:19,2013-07-16 21:24:44,,1374009884.224,,,0
1201,2009-05-31 18:04:20,2014-01-24 21:24:30,,1390598670.129,,11,0
1202,2009-05-31 18:04:20,2014-07-01 17:06:16,,1404234376.647,,,0
1203,2009-05-31 18:04:20,2011-08-08 18:00:07,,1312826407.993,,,0
1204,2009-05-31 18:04:21,2014-01-24 21:23:10,,1390598590.195,,6,0
1205,2009-05-31 18:04:21,2014-08-05 21:06:04,,1407272764.748,,20,0
1206,2009-05-31 18:04:22,2011-07-25 21:03:43,,1311627823.324,,,0
1207,2009-05-31 18:04:23,2013-07-16 21:13:19,,1374009199.29,,,0
1208,2009-05-31 18:04:25,2014-06-27 19:37:52,,1403897872.829,,,0
1209,2009-05-31 18:04:25,2011-09-02 22:31:15,2011-09-02 22:31:15,1313620824.947,,,0
1210,2009-05-31 18:04:25,2015-01-28 22:20:24,,1422483624.885,,,0
1211,2009-05-31 18:04:27,2011-08-08 18:09:20,2011-08-08 18:09:20,1311627823.368,,,0
1212,2009-05-31 18:04:27,2011-07-25 21:03:43,,1311627823.376,,,0
1213,2009-05-31 18:04:27,2011-08-17 22:34:25,,1313620465.467,,,0
1214,2009-05-31 18:04:28,2014-07-01 17:10:39,,1404234639.136,,0,0
