_id,procedure_id,medical_specialty_id
1,92,1218
2,93,1197
3,94,1193
4,97,184
5,102,184
6,99,1195
7,103,184
8,104,256
9,105,1224
10,111,456
11,114,183
12,264,242
13,264,197
14,11,1197
15,1,1193
16,4,1204
17,5,1193
18,6,191
19,7,516
20,8,1195
21,9,1218
22,10,1202
23,10,1218
24,7,183
25,12,183
26,13,1218
27,14,191
28,15,256
29,15,1196
30,16,1197
31,17,1218
32,18,1203
33,21,256
34,25,1201
35,25,1197
36,26,1201
37,26,1197
38,28,456
39,28,256
40,29,270
41,29,1197
42,30,456
43,31,456
44,32,456
45,33,456
46,35,380
47,36,242
48,37,184
49,38,249
50,39,249
51,40,516
52,42,270
53,42,1193
54,43,197
55,46,183
56,47,183
57,47,1218
58,48,1218
59,48,1236
60,49,1193
61,50,256
62,50,456
63,51,1218
64,20,1214
65,60,1197
66,84,195
67,109,1218
68,265,195
69,265,1224
70,266,249
71,268,249
72,268,226
73,269,188
74,270,380
75,271,188
76,272,1201
77,275,228
78,276,191
79,277,188
80,279,1214
81,278,1196
82,278,184
83,281,191
84,282,1276
85,283,228
86,284,1193
87,286,1298
88,288,1233
89,289,1201
90,290,1276
91,291,1201
92,292,249
93,293,1204
94,294,1276
95,295,249
96,297,1193
97,298,188
98,299,1201
99,300,184
100,301,1201
101,302,191
102,303,1233
103,305,188
104,306,188
105,307,1204
106,307,188
107,308,1220
108,309,1276
109,309,188
110,86,249
111,91,197
112,91,1286
113,310,1193
114,311,184
115,312,188
116,312,228
117,313,1206
118,313,188
119,314,197
120,315,1193
121,315,365
122,315,1256
123,316,1233
124,317,188
125,317,1193
126,318,1201
127,318,188
128,319,188
129,321,184
130,322,228
131,323,249
132,324,1233
133,325,1193
134,326,191
135,326,228
136,327,188
137,327,1256
138,328,1206
139,328,188
140,329,1193
141,330,184
142,331,183
143,331,1197
144,332,1196
145,332,365
146,333,184
147,23,188
148,44,1196
149,45,183
150,52,1197
151,53,456
152,54,183
153,55,1193
154,56,183
155,57,184
156,58,183
157,59,1193
158,62,1193
159,65,1193
160,66,249
161,67,249
162,68,242
163,69,195
164,70,183
165,71,1196
166,73,183
167,74,270
168,75,270
169,76,270
170,77,249
171,79,456
172,81,1196
173,82,1196
174,83,1193
175,85,1197
176,87,1196
177,88,273
178,95,184
179,96,184
180,98,1196
181,100,1193
182,101,184
183,106,270
184,107,456
185,108,1196
186,112,183
187,115,188
188,116,1195
189,117,188
190,118,1197
191,119,456
192,121,183
193,122,183
194,123,188
195,124,1197
196,125,1193
197,127,249
198,128,183
199,129,1196
200,130,188
201,131,188
202,132,183
203,133,183
204,134,1196
205,135,270
206,136,1196
207,137,1196
208,139,1195
209,141,191
210,142,197
211,143,197
212,144,1196
213,145,1196
214,146,195
215,147,195
216,148,195
217,149,183
218,150,183
219,151,183
220,152,1204
221,154,456
222,155,456
223,156,197
224,157,456
225,159,456
226,160,270
227,161,183
228,162,1193
229,163,456
230,166,183
231,167,183
232,172,183
233,173,183
234,177,1193
235,178,1193
236,180,270
237,181,1195
238,182,195
239,184,1193
240,185,242
241,186,183
242,187,1193
243,188,1196
244,189,183
245,190,1193
246,192,1193
247,194,249
248,196,1197
249,197,1197
250,198,197
251,199,242
252,200,183
253,202,184
254,203,270
255,205,197
256,206,1197
257,207,1197
258,208,270
259,209,183
260,210,183
261,211,270
262,214,456
263,215,197
264,217,456
265,218,183
266,219,1193
267,220,1193
268,221,456
269,222,184
270,224,195
271,225,183
272,226,249
273,227,195
274,229,249
275,230,183
276,231,249
277,232,249
278,233,1196
279,234,456
280,235,1194
281,236,1194
282,237,1204
283,238,188
284,239,191
285,240,191
286,241,1204
287,244,1196
288,245,183
289,247,270
290,249,456
291,251,456
292,253,270
293,254,1193
294,255,1193
295,256,1193
296,258,1248
297,260,1248
298,263,1294
299,267,1218
300,285,270
301,320,188
302,279,1273
303,335,270
304,22,456
305,34,183
306,330,188
307,12,595
308,298,365
309,336,188
310,336,365
311,336,1196
312,337,456
313,338,456
314,339,456
315,340,456
316,341,1204
317,342,1204
318,343,1204
319,344,1204
320,345,1204
321,346,1204
322,347,1204
323,348,1204
324,349,270
325,350,270
326,351,270
327,353,270
328,354,270
329,355,270
330,356,270
331,357,270
332,358,270
333,359,270
334,360,335
335,361,188
336,361,365
337,361,602
338,361,1196
339,362,249
340,362,1238
341,274,1214
342,274,1273
343,364,1218
344,367,191
345,367,335
346,369,195
347,370,195
348,371,195
349,372,195
350,373,195
351,374,195
352,375,195
353,376,195
354,377,195
355,378,195
356,379,195
357,380,195
358,281,228
359,281,335
360,381,195
361,382,195
362,383,195
363,384,195
364,385,195
365,386,195
366,387,195
367,388,195
368,389,195
369,391,191
370,391,1248
371,392,273
372,393,183
373,394,335
374,395,335
375,396,191
376,396,335
377,397,191
378,397,335
379,398,191
380,399,191
381,400,191
382,401,191
383,165,1218
384,165,273
385,181,1218
386,179,1218
387,221,1218
388,226,1218
389,386,1218
390,255,1218
391,99,1218
392,212,1218
393,227,1218
394,169,1218
395,146,1302
396,84,1302
397,404,195
398,404,1302
399,405,191
400,406,191
401,407,191
402,408,191
403,409,191
404,410,191
405,411,191
406,412,191
407,413,191
408,415,191
409,416,191
410,417,191
411,418,191
412,420,256
413,421,256
414,423,256
415,424,256
416,424,456
417,425,256
418,425,456
419,221,256
420,427,184
421,428,184
422,429,184
423,430,184
424,431,184
425,432,184
426,432,1221
427,433,184
428,434,184
429,434,1221
430,435,1199
431,436,1193
432,437,1193
433,438,1193
434,439,1193
435,440,1193
436,441,1193
437,442,1193
438,444,1193
439,450,1193
440,451,1193
441,447,270
442,446,270
443,448,270
444,449,270
445,378,1302
446,267,1302
447,148,1302
448,224,1302
449,369,1302
450,370,1302
451,372,1302
452,382,1302
453,389,1302
454,371,1302
455,373,1302
456,381,1302
457,383,1302
458,147,1302
459,377,1302
460,375,1302
461,374,1302
462,376,1302
463,384,1302
464,385,1302
465,388,1302
466,388,1218
467,387,1302
468,452,1193
469,263,1411
470,263,1295
471,453,195
472,453,1302
473,454,1193
474,455,1196
475,455,188
476,455,365
477,298,1196
478,456,249
479,456,1196
480,456,188
481,456,365
482,457,249
483,457,1196
484,457,188
485,457,365
486,458,1196
487,458,1201
488,458,188
